"arv","hi","di","DAP","HT"
2170,0.1,17.99,14.39,26.5
2170,0.3,16.5,14.39,26.5
2170,0.5,14.86,14.39,26.5
2170,0.7,14.72,14.39,26.5
2170,0.9,14.71,14.39,26.5
2170,1.1,14.39,14.39,26.5
2170,1.3,14.39,14.39,26.5
2170,2,13.99,14.39,26.5
2170,3,13.59,14.39,26.5
2170,4,13.39,14.39,26.5
2170,5,13.2,14.39,26.5
2170,6,12.7,14.39,26.5
2170,7,12.45,14.39,26.5
2170,8,11.8,14.39,26.5
2170,9,11.35,14.39,26.5
2170,10,11.25,14.39,26.5
2170,11,10.6,14.39,26.5
2170,12,10.4,14.39,26.5
2170,12.25,9.75,14.39,26.5
2170,13,9.65,14.39,26.5
2170,14,9.15,14.39,26.5
2170,15,9.1,14.39,26.5
2170,16,8.34,14.39,26.5
2170,17,8.05,14.39,26.5
2170,18,7.5,14.39,26.5
2170,18.15,7,14.39,26.5
2170,19,6.5,14.39,26.5
2170,20,6,14.39,26.5
2170,21,5.45,14.39,26.5
2170,22,4.75,14.39,26.5
2170,23,4,14.39,26.5
2170,26.5,0,14.39,26.5
2171,0.1,21.54,19,29.4
2171,0.3,20.24,19,29.4
2171,0.5,19.59,19,29.4
2171,0.7,19.54,19,29.4
2171,0.9,19.3,19,29.4
2171,1.1,19.05,19,29.4
2171,1.3,19,19,29.4
2171,2,18.74,19,29.4
2171,3,17.75,19,29.4
2171,4,17.15,19,29.4
2171,5,17.05,19,29.4
2171,6,17.05,19,29.4
2171,7,16.7,19,29.4
2171,8,15.9,19,29.4
2171,9,15.25,19,29.4
2171,10,15.25,19,29.4
2171,11,14.95,19,29.4
2171,12,14.34,19,29.4
2171,13,13.55,19,29.4
2171,13.7,13.15,19,29.4
2171,14,13.1,19,29.4
2171,15,12.55,19,29.4
2171,16,12.1,19,29.4
2171,17,11.2,19,29.4
2171,18,10.75,19,29.4
2171,19,10.1,19,29.4
2171,20,9.45,19,29.4
2171,21,8.65,19,29.4
2171,22,7.95,19,29.4
2171,23,7.55,19,29.4
2171,23.43,7,19,29.4
2171,24,6.3,19,29.4
2171,25,5.4,19,29.4
2171,26,4.45,19,29.4
2171,26.7,4,19,29.4
2171,29.4,0,19,29.4
2172,0.1,22.74,19.13,29.7
2172,0.3,22,19.13,29.7
2172,0.5,20.75,19.13,29.7
2172,0.7,19.49,19.13,29.7
